,anger,app,disapp,fear,joy,neg,neu,num,pos,sadness,sum_c
2020-01-09,1.0,41.876866,53.3936,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4019
2020-01-17,1.0,42.33786,52.985788,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-01-19,0.0,42.33786,52.985788,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-01-20,0.5,42.713089000000004,52.823916000000004,0.5,0.0,0.5,0.5,2.0,0.0,0.0,-0.5574
2020-01-21,0.16666666666666666,42.222053,53.522698,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,0.16666666666666666,-0.34409999999999996
2020-01-22,0.3333333333333333,41.909656,53.927913000000004,0.5,0.1111111111111111,0.2777777777777778,0.5,18.0,0.2222222222222222,0.05555555555555555,-1.4536000000000002
2020-01-23,0.2222222222222222,42.635503,53.244073,0.6666666666666666,0.05555555555555555,0.5,0.4444444444444444,18.0,0.05555555555555555,0.05555555555555555,-4.5061
2020-01-24,0.3333333333333333,43.016357,52.58426899999999,0.48148148148148145,0.1111111111111111,0.37037037037037035,0.5185185185185185,27.0,0.1111111111111111,0.07407407407407407,-3.3941
2020-01-25,0.2857142857142857,43.016357,52.58426899999999,0.6,0.0,0.4857142857142857,0.3142857142857143,35.0,0.2,0.11428571428571428,-4.6693
2020-01-26,0.2,43.074199,52.767053000000004,0.7142857142857143,0.0,0.34285714285714286,0.5428571428571428,35.0,0.11428571428571428,0.08571428571428572,-3.1264000000000003
2020-01-27,0.375,42.890308000000005,52.869209999999995,0.5,0.0,0.53125,0.3125,32.0,0.15625,0.125,-6.784700000000001
2020-01-28,0.5217391304347826,43.193389,52.515747,0.34782608695652173,0.043478260869565216,0.4782608695652174,0.391304347826087,23.0,0.13043478260869565,0.08695652173913043,-3.8399000000000005
2020-01-29,0.23809523809523808,42.95131,52.60528000000001,0.6190476190476191,0.047619047619047616,0.23809523809523808,0.3333333333333333,21.0,0.42857142857142855,0.09523809523809523,0.6099000000000002
2020-01-30,0.22448979591836735,42.830283,52.758718,0.6530612244897959,0.04081632653061224,0.32653061224489793,0.40816326530612246,49.0,0.2653061224489796,0.08163265306122448,-1.6706000000000005
2020-01-31,0.27450980392156865,43.426452000000005,51.904613,0.6470588235294118,0.058823529411764705,0.4117647058823529,0.2549019607843137,51.0,0.3333333333333333,0.0196078431372549,-2.0003
2020-02-01,0.20512820512820512,43.406713,51.959784,0.6923076923076923,0.10256410256410256,0.3333333333333333,0.48717948717948717,39.0,0.1794871794871795,0.0,-2.8662
2020-02-02,0.2857142857142857,43.636140999999995,51.889993,0.5714285714285714,0.02857142857142857,0.42857142857142855,0.4,35.0,0.17142857142857143,0.11428571428571428,-4.768400000000001
2020-02-03,0.22857142857142856,43.376899,52.214689,0.6,0.11428571428571428,0.5142857142857142,0.17142857142857143,35.0,0.3142857142857143,0.05714285714285714,-4.2305
2020-02-04,0.29411764705882354,43.513849,52.13905,0.5294117647058824,0.11764705882352941,0.5294117647058824,0.23529411764705882,17.0,0.23529411764705882,0.058823529411764705,-2.9557
2020-02-05,0.21875,43.400478,52.142364,0.59375,0.15625,0.3125,0.21875,32.0,0.46875,0.03125,2.1218
2020-02-06,0.25806451612903225,43.874323,51.807388,0.45161290322580644,0.0967741935483871,0.6129032258064516,0.2903225806451613,31.0,0.0967741935483871,0.1935483870967742,-8.016499999999999
2020-02-07,0.1111111111111111,43.835004,51.733498,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,18.0,0.3333333333333333,0.2222222222222222,-1.0981
2020-02-08,0.2608695652173913,43.835029,51.733375,0.6086956521739131,0.0,0.5217391304347826,0.21739130434782608,23.0,0.2608695652173913,0.13043478260869565,-3.5972999999999997
2020-02-09,0.3157894736842105,43.835029,51.733375,0.42105263157894735,0.10526315789473684,0.4473684210526316,0.23684210526315788,38.0,0.3157894736842105,0.15789473684210525,-4.5862
2020-02-10,0.375,43.799778,51.836954999999996,0.5416666666666666,0.08333333333333333,0.2916666666666667,0.4583333333333333,24.0,0.25,0.0,-0.9051999999999997
2020-02-11,0.375,43.624559000000005,51.97237,0.59375,0.0,0.46875,0.25,32.0,0.28125,0.03125,-3.6344999999999996
2020-02-12,0.35294117647058826,43.462463,51.971277,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.17647058823529413,17.0,0.4117647058823529,0.058823529411764705,-0.5433000000000001
2020-02-13,0.29411764705882354,43.341663,52.215621,0.5882352941176471,0.058823529411764705,0.5294117647058824,0.4117647058823529,17.0,0.058823529411764705,0.058823529411764705,-4.5804
2020-02-14,0.375,43.314642,52.1884,0.5625,0.0,0.4375,0.375,16.0,0.1875,0.0625,-1.9325999999999999
2020-02-15,0.4166666666666667,43.314642,52.1884,0.5833333333333334,0.0,0.4166666666666667,0.4166666666666667,12.0,0.16666666666666666,0.0,-1.9352
2020-02-16,0.23076923076923078,43.441660999999996,52.239039,0.6923076923076923,0.07692307692307693,0.38461538461538464,0.38461538461538464,13.0,0.23076923076923078,0.0,-1.1198000000000001
2020-02-17,0.375,43.856667,51.935520000000004,0.40625,0.0,0.4375,0.375,32.0,0.1875,0.21875,-3.1267
2020-02-18,0.4117647058823529,44.570087,50.954282,0.47058823529411764,0.0,0.11764705882352941,0.6470588235294118,17.0,0.23529411764705882,0.11764705882352941,0.9538
2020-02-19,0.1875,44.337416,50.975117,0.5,0.1875,0.375,0.25,16.0,0.375,0.125,-2.5234
2020-02-20,0.26666666666666666,43.989540000000005,51.463091999999996,0.6666666666666666,0.06666666666666667,0.4666666666666667,0.13333333333333333,15.0,0.4,0.0,0.4269
2020-02-21,0.4444444444444444,43.309826,52.185511,0.5,0.0,0.2222222222222222,0.5,18.0,0.2777777777777778,0.05555555555555555,-1.0330000000000001
2020-02-22,0.3333333333333333,43.309826,52.185511,0.47619047619047616,0.09523809523809523,0.4523809523809524,0.38095238095238093,42.0,0.16666666666666666,0.09523809523809523,-6.994599999999999
2020-02-23,0.3181818181818182,43.309826,52.185511,0.4772727272727273,0.09090909090909091,0.38636363636363635,0.38636363636363635,44.0,0.22727272727272727,0.11363636363636363,-3.9147
2020-02-24,0.2872340425531915,43.296293,52.245174,0.46808510638297873,0.05319148936170213,0.43617021276595747,0.3723404255319149,94.0,0.19148936170212766,0.19148936170212766,-9.491299999999999
2020-02-25,0.3412969283276451,43.27698,52.2268,0.5563139931740614,0.030716723549488054,0.49829351535836175,0.310580204778157,293.0,0.19112627986348124,0.07167235494880546,-44.8707
2020-02-26,0.31115107913669066,43.242829,52.191632,0.5377697841726619,0.04316546762589928,0.45863309352517984,0.30035971223021585,556.0,0.24100719424460432,0.1079136690647482,-69.5934
2020-02-27,0.35815602836879434,43.39028,52.068106,0.47044917257683216,0.057919621749408984,0.4314420803782506,0.3061465721040189,846.0,0.2624113475177305,0.11347517730496454,-74.87379999999999
2020-02-28,0.3251700680272109,43.452523,52.330694,0.5156462585034014,0.04353741496598639,0.45034013605442175,0.3115646258503401,735.0,0.23809523809523808,0.11564625850340136,-83.07509999999995
2020-02-29,0.2876376988984088,43.324428999999995,52.427440999999995,0.5569155446756426,0.03916768665850673,0.5299877600979193,0.26805385556915545,817.0,0.20195838433292534,0.11627906976744186,-148.00600000000017
2020-03-01,0.2921686746987952,43.324428999999995,52.427440999999995,0.5572289156626506,0.0572289156626506,0.48493975903614456,0.33433734939759036,332.0,0.18072289156626506,0.09337349397590361,-56.03450000000006
2020-03-02,0.32492997198879553,43.17839,52.679613,0.5238095238095238,0.04481792717086835,0.4173669467787115,0.32492997198879553,357.0,0.25770308123249297,0.10644257703081232,-35.66839999999999
2020-03-03,0.2976878612716763,43.256935,52.673889,0.5578034682080925,0.05491329479768786,0.4190751445086705,0.3872832369942196,346.0,0.1936416184971098,0.08959537572254335,-42.24820000000001
2020-03-04,0.3281733746130031,43.198134,52.419232,0.5263157894736842,0.05263157894736842,0.4458204334365325,0.3498452012383901,323.0,0.2043343653250774,0.09287925696594428,-37.386700000000005
2020-03-05,0.35903614457831323,42.85326,52.86829399999999,0.4939759036144578,0.05783132530120482,0.472289156626506,0.30843373493975906,415.0,0.21927710843373494,0.0891566265060241,-60.79559999999997
2020-03-06,0.32158590308370044,42.759827,52.995391000000005,0.539647577092511,0.037444933920704845,0.4052863436123348,0.3898678414096916,454.0,0.20484581497797358,0.1013215859030837,-46.12989999999998
2020-03-07,0.27634660421545665,42.759827,52.995391000000005,0.5620608899297423,0.06088992974238876,0.40749414519906324,0.31381733021077285,427.0,0.2786885245901639,0.10070257611241218,-34.66309999999999
2020-03-08,0.3008130081300813,42.759827,52.995391000000005,0.5772357723577236,0.04878048780487805,0.4065040650406504,0.31910569105691056,492.0,0.27439024390243905,0.07317073170731707,-35.92980000000001
2020-03-09,0.29975728155339804,42.79497,53.033232,0.5449029126213593,0.05946601941747573,0.4441747572815534,0.3191747572815534,824.0,0.2366504854368932,0.09587378640776699,-91.02810000000004
2020-03-10,0.3104738154613466,42.696669,53.069916000000006,0.5511221945137157,0.05486284289276808,0.4239401496259352,0.34538653366583544,802.0,0.23067331670822944,0.08354114713216958,-80.69670000000009
2020-03-11,0.3227848101265823,42.327323,53.248387,0.5284810126582279,0.060126582278481014,0.4287974683544304,0.31329113924050633,632.0,0.2579113924050633,0.08860759493670886,-71.09620000000002
2020-03-12,0.3634639696586599,42.337865,53.15613100000001,0.49873577749683945,0.05625790139064475,0.3843236409608091,0.3666245259165613,1582.0,0.24905183312262957,0.08154235145385588,-126.95229999999997
2020-03-13,0.3277216610549944,42.287014,53.232597999999996,0.5291806958473625,0.05723905723905724,0.4792368125701459,0.2957351290684624,1782.0,0.2250280583613917,0.08585858585858586,-232.7320999999999
2020-03-14,0.4062205466540999,42.287014,53.232597999999996,0.4816211121583412,0.04147031102733271,0.38737040527803956,0.36663524976437323,1061.0,0.24599434495758718,0.0706880301602262,-75.09219999999993
2020-03-15,0.39325842696629215,42.613403000000005,53.090293,0.48813982521847693,0.04119850187265917,0.4257178526841448,0.30711610486891383,801.0,0.2671660424469413,0.07740324594257178,-91.13830000000003
2020-03-16,0.3362255965292842,42.720596,53.138875,0.5065075921908894,0.06290672451193059,0.3915401301518438,0.368763557483731,922.0,0.23969631236442515,0.09436008676789588,-73.29919999999994
2020-03-17,0.30833333333333335,43.001512,52.657861,0.4785714285714286,0.07023809523809524,0.3761904761904762,0.3761904761904762,840.0,0.24761904761904763,0.14285714285714285,-67.0979
2020-03-18,0.3376865671641791,42.996952,52.753665000000005,0.4626865671641791,0.07276119402985075,0.40578358208955223,0.36473880597014924,1072.0,0.2294776119402985,0.12686567164179105,-123.49520000000003
2020-03-19,0.33124346917450365,43.714653000000006,52.110091,0.5078369905956113,0.04806687565308255,0.3375130616509927,0.3845350052246604,957.0,0.2779519331243469,0.11285266457680251,-54.323800000000055
2020-03-20,0.3147268408551069,43.182827,52.073332,0.5154394299287411,0.07244655581947744,0.40380047505938244,0.33016627078384797,842.0,0.2660332541567696,0.09738717339667459,-80.94290000000001
2020-03-21,0.3560830860534125,43.182827,52.073332,0.5,0.05934718100890208,0.39020771513353114,0.35014836795252224,674.0,0.2596439169139466,0.08456973293768547,-51.50699999999999
2020-03-22,0.345475910693302,43.182827,52.073332,0.5123384253819037,0.06345475910693302,0.3701527614571093,0.3501762632197415,851.0,0.2796709753231492,0.07873090481786134,-47.45350000000007
2020-03-23,0.36540962288686607,43.685175,51.563184,0.48244473342002603,0.04811443433029909,0.3706111833550065,0.36150845253576075,769.0,0.26788036410923277,0.10403120936280884,-46.75010000000006
2020-03-24,0.33458177278401996,44.68436,50.480143,0.4993757802746567,0.06991260923845194,0.3970037453183521,0.35830212234706615,801.0,0.24469413233458176,0.09612983770287141,-71.74869999999997
2020-03-25,0.3532608695652174,44.629069,50.671925,0.5054347826086957,0.06114130434782609,0.358695652173913,0.33016304347826086,736.0,0.3111413043478261,0.08016304347826086,-32.52129999999998
2020-03-26,0.3232189973614776,45.290092,50.472770000000004,0.5065963060686016,0.06728232189973615,0.36147757255936674,0.3641160949868074,758.0,0.27440633245382584,0.10290237467018469,-43.01789999999993
2020-03-27,0.31633986928104574,45.806991,49.727159,0.538562091503268,0.05359477124183006,0.32679738562091504,0.35947712418300654,765.0,0.3137254901960784,0.0915032679738562,-20.187599999999996
2020-03-28,0.08893380495199596,45.815577000000005,49.734404999999995,0.17786760990399192,0.6978271854471956,0.12481051035876706,0.11622031328954018,1979.0,0.7589691763516928,0.035371399696816574,616.3003000000077
2020-03-29,0.10411622276029056,45.783189,49.789608,0.18886198547215496,0.6682808716707022,0.12590799031476999,0.15012106537530268,413.0,0.7239709443099274,0.0387409200968523,118.25919999999941
2020-03-30,0.26898392908808755,45.338869,50.191026,0.6251216497014651,0.039296141402982716,0.40507377890002366,0.27474420684394646,76038.0,0.3201820142560299,0.06659827980746469,-2734.070700000021
2020-03-31,0.26211377485074167,45.418363,50.204039,0.6129593155659506,0.042338585585031084,0.5088285529636241,0.26317935618883487,259952.0,0.22799209084754107,0.0825883239982766,-41609.247599977694
2020-04-01,0.2547104208748634,45.816466,49.707552,0.595781317262161,0.04549819530448028,0.36302526573727606,0.29335408457233686,30199.0,0.3436206496903871,0.10401006655849532,-1563.392399999993
2020-04-02,0.31594267801164355,45.673972,50.038567,0.5499488196532532,0.034594715629198386,0.4331456720619282,0.22333823811656325,125048.0,0.34351608982150855,0.09951378670590494,-9503.185400000479
2020-04-03,0.3757480894945217,45.845898,49.882515000000005,0.45106343798913545,0.040953871650860875,0.3967590461283491,0.2581530245833717,54305.0,0.34508792928827914,0.132234600865482,-2471.2885000004117
2020-04-04,0.2843509068389773,45.784796,49.910053000000005,0.5837085825660326,0.032874713162366904,0.5105757875433257,0.20097356773208644,104153.0,0.28845064472458787,0.09906579743262316,-15117.014099997454
2020-04-05,0.230078310393925,45.788477,50.027034,0.6409587090650214,0.03691267204556241,0.44299952539155196,0.1988609397247271,84280.0,0.3581395348837209,0.09205030849549121,-6300.148200001372
2020-04-06,0.2509853141275278,45.292246,49.643333,0.483108900670952,0.039412565101112,0.579986393281096,0.14246000093839442,85252.0,0.2775536057805095,0.2264932201004082,-16291.36270000291
2020-04-07,0.3280117179189238,45.350914,49.685118,0.5397443660704057,0.04744447899448472,0.40561838207616646,0.17656252557157587,122206.0,0.41781909235225767,0.08479943701618578,-5160.511300002253
2020-04-08,0.2910167011274298,44.631565,49.986358,0.5813580107944144,0.03571872907915707,0.462968997162171,0.20472063083932202,168791.0,0.33231037199850705,0.09190655899899876,-16404.54040000237
2020-04-09,0.2259321213188361,44.605734999999996,50.284832,0.679832284192455,0.030890962715147248,0.42256900118853724,0.17898490117533125,90868.0,0.39844609763613154,0.06334463177356164,-3235.906900001407
2020-04-10,0.27433123597159365,44.367344,50.764068,0.6395665452404606,0.03382455753026456,0.43545093277403685,0.15504838650329322,108708.0,0.40950068072266993,0.05227766125768113,-3716.9740999997025
2020-04-11,0.2536360457435924,44.417322,50.706717,0.64173131467499,0.04235038141245645,0.5329283928872081,0.16029684120549648,77213.0,0.3067747659072954,0.062282258168961185,-9987.510999999147
2020-04-12,0.2831265750525598,44.412358000000005,50.719189,0.5552121186806455,0.04291104520835944,0.4501343580747114,0.29745346198293027,71823.0,0.2524121799423583,0.11875026105843532,-10319.902999999631
2020-04-13,0.256048162643122,44.233124,51.233075,0.5893929143366076,0.07709962233773797,0.5140488648722714,0.22801894305949252,116771.0,0.25793219206823614,0.07745930068253248,-17483.574699997647
2020-04-14,0.21843456807695502,44.277388,51.380899,0.6252594622163707,0.033045107876976364,0.5096134457768448,0.22000023722259782,84309.0,0.2703863170005575,0.1232608618296979,-9781.00310000097
2020-04-15,0.21168366822403217,44.356559999999995,51.377553999999996,0.6823202842096846,0.04164905587096332,0.46574747832444224,0.3259272797888989,87541.0,0.20832524188665882,0.0643469916953199,-11352.527900000672
2020-04-16,0.298192214455762,44.108897999999996,52.013569,0.5936885130067072,0.04078659868900218,0.4190736050265787,0.3366959811285887,91991.0,0.24423041384483266,0.06733267384852866,-9371.22960000045
2020-04-17,0.22125441456126052,44.032825,52.060355,0.5836983835914153,0.03642861994023363,0.43882436837815814,0.23753735397989675,117792.0,0.32363827764194514,0.15861858190709047,-9115.812999999236
2020-04-18,0.29460398820390393,44.039269,52.015726,0.5477636567897767,0.0387673781772223,0.47054486729391937,0.23582537564948744,113936.0,0.29362975705659317,0.11886497682909704,-12344.88690000106
2020-04-19,0.23174920267760138,44.105206,52.116035,0.6337311183541864,0.03747415273542915,0.428170889846844,0.3346125538849753,114132.0,0.2372165562681807,0.09704552623278309,-13534.246799998064
2020-04-20,0.2235355172158146,44.06257,52.265749,0.6625043688240714,0.04578527626854764,0.4882597782226035,0.2556476980268802,94419.0,0.25609252375051633,0.06817483769156632,-14339.940199999368
2020-04-21,0.259988170134968,43.721278999999996,52.146827,0.5240899069742432,0.126559391299672,0.5578520729149863,0.2411612087971178,148776.0,0.2009867182878959,0.08936253159111684,-26196.35530000311
2020-04-22,0.2501951081332632,43.583277,52.40858,0.5787629855302028,0.07995675825668715,0.4297466195709355,0.2576583555419381,172981.0,0.3125950248871263,0.09108514807984693,-11571.790099997781
2020-04-23,0.21327973526953495,43.449942,52.55386800000001,0.6402940691505996,0.03791285955525737,0.3798108905655657,0.2680395958539206,175877.0,0.35214951358051366,0.10851333602460811,-335.9966000000755
2020-04-24,0.36530090513369723,43.431835,52.405246999999996,0.5220295262442709,0.035859877012367855,0.44159239042815357,0.32648149427669915,86838.0,0.23192611529514728,0.07680969160966397,-8122.693000002262
2020-04-25,0.2798065900342125,43.428729,52.447502,0.6079344475817063,0.030751114025344913,0.4432772640697275,0.26368611917729395,224187.0,0.29303661675297854,0.08150784835873623,-21625.239699999056
2020-04-26,0.2668928202979642,43.428729,52.447502,0.6089974906858041,0.021146716042041148,0.4277907673455781,0.2703031449770918,221973.0,0.3019060876773301,0.10296297297419056,-20832.21339999698
2020-04-27,0.24874212788644165,43.258787,52.579021999999995,0.6355419679450868,0.045458331944953516,0.3847922428442904,0.3034054180133951,120044.0,0.3118023391423145,0.07025757222351804,-6843.011799998569
2020-04-28,0.2823253833049404,42.599133,52.57119300000001,0.6043015332197615,0.03127129471890971,0.5053130323679728,0.2489991482112436,93920.0,0.24568781942078363,0.08210178875638842,-14219.209500001467
2020-04-29,0.26394660148538124,42.563159000000006,52.66800500000001,0.6117702359687882,0.03563974804926201,0.4477672276017674,0.23303563034690233,106370.0,0.31919714205133026,0.08864341449656858,-12803.53469999997
2020-04-30,0.3369849371343209,42.921096,52.389264000000004,0.559541889704967,0.03246607743059878,0.40597535167434334,0.26286567907382047,80330.0,0.3311589692518362,0.07100709573011328,-5042.961700000161
2020-05-01,0.28092577813248204,43.301039,50.683923,0.5644479914870977,0.05547220005320564,0.40110667730779465,0.2702633679169992,93975.0,0.3286299547752062,0.09915403032721469,-4567.287200000132
2020-05-02,0.3285784824710594,43.361511,50.656975,0.5966149119438197,0.03420749437647446,0.4942118834695781,0.18404016020189828,36454.0,0.3217479563285236,0.04059911120864651,-4697.334900000169
2020-05-03,0.2719753377581618,43.361511,50.656975,0.6241029614905158,0.025049695091135745,0.3715002863784913,0.3097941444021428,59362.0,0.31870556921936594,0.07887200566018665,-2208.164500000015
